,imgsz,stride,bs,model,tracker,n_frames,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDsw,FM,MOTA,MOTP,pre-process ms,infer ms,nms ms,tracker ms,total ms
37,480,1,1,yolov8s-pt,strongsort,900.0,1.567996,1.180386,1.067668,0.317641,0.877884,8985.0,1.0,1.0,2.0,397.0,6131.0,4.0,1268.0,0.273011,0.191668,0.8,10.8,1.4,25.4,34560.0
38,640,4,1,yolov8s-pt,ocsort,225.0,1.62148,1.371807,1.243544,0.485307,0.909091,2246.0,1.0,2.0,1.0,109.0,1156.0,2.0,320.0,0.435886,0.192325,0.5,9.9,1.1,2.6,3172.5
39,480,2,1,yolov8l-pt,strongsort,450.0,1.633353,1.38893,1.262467,0.504675,0.924551,4492.0,1.0,2.0,1.0,185.0,2225.0,8.0,673.0,0.46171,0.201543,0.7,22.4,1.3,27.7,23444.999999999996
40,320,2,1,yolov8s-pt,bytetrack,450.0,1.475854,1.057979,0.836821,0.129118,0.963455,4492.0,1.0,1.0,2.0,22.0,3912.0,0.0,310.0,0.124221,0.208643,0.4,9.6,1.2,0.8,5400.0
41,480,5,1,yolov8s-pt,ocsort,180.0,1.570957,1.179678,1.060724,0.313649,0.895072,1795.0,1.0,1.0,2.0,66.0,1232.0,0.0,250.0,0.27688,0.188595,0.5,9.7,1.1,2.2,2430.0
42,480,2,1,yolov8m-pt,bytetrack,450.0,1.590498,1.178483,1.058326,0.306768,0.927322,4492.0,1.0,1.0,2.0,108.0,3114.0,0.0,639.0,0.282725,0.207353,0.5,12.1,1.1,1.1,6659.999999999999
43,320,1,1,yolov8m-pt,bytetrack,900.0,1.533889,1.112513,0.942014,0.218475,0.957094,8985.0,1.0,1.0,2.0,88.0,7022.0,0.0,957.0,0.208681,0.187895,0.3,11.3,1.0,0.8,12060.000000000002
44,320,3,1,yolov8l-pt,ocsort,300.0,1.552422,1.150456,1.011356,0.279893,0.923925,2994.0,1.0,1.0,2.0,69.0,2156.0,0.0,385.0,0.256847,0.185426,0.5,15.0,1.1,1.9,5550.0
45,320,2,1,yolov8n-pt,bytetrack,450.0,1.434611,1.014956,0.770481,0.071683,0.966967,4492.0,0.0,1.0,3.0,11.0,4170.0,0.0,238.0,0.069234,0.221937,0.5,9.7,1.1,0.6,5354.999999999999
46,480,2,1,yolov8n-pt,strongsort,450.0,1.555439,1.139003,0.986866,0.249777,0.928808,4492.0,1.0,1.0,2.0,86.0,3370.0,2.0,578.0,0.230187,0.20377,0.7,9.5,1.3,24.4,16155.0
